id,Station,Boro,2019,2023
426,"East 180 St (2,5)",Bx,"2,211,198","1,690,373"
234,East Broadway (F),M,"4,460,330","3,729,749"
442,Eastchester-Dyre Av (5),Bx,"1,331,886","727,475"
341,"Eastern Pkwy-Brooklyn Museum (2,3)",B,"1,338,351","1,125,810"
369,Elder Av (6),Bx,"1,996,492","1,214,084"
266,"Elmhurst Av (M,R)",Q,"3,867,341","2,676,734"
188,"Euclid Av (A,C)",B,"3,240,578","2,146,235"
209,Far Rockaway-Mott Av (A),Q,"1,347,765","852,781"
359,"Flatbush Av-Brooklyn College (2,5)",B,"5,684,108","3,601,151"
287,Flushing Av (G),B,"732,897","729,349"
98,"Flushing Av (J,M)",B,"2,773,154","1,614,503"
447,Flushing-Main St (7),Q,"17,568,837","13,876,213"
382,Fordham Rd (4),Bx,"3,120,976","2,269,772"
213,"Fordham Rd (B,D)",Bx,"3,671,217","1,842,281"
110,Forest Av (M),Q,"1,310,163","923,548"
261,"Forest Hills-71 Av (E,F,M,R)",Q,"8,027,234","5,509,732"
60,Fort Hamilton Pkwy (D),B,"1,207,971","873,254"
242,"Fort Hamilton Pkwy (F,G)",B,"1,800,167","1,341,506"
72,Fort Hamilton Pkwy (N),B,"1,372,278","1,530,067"
626,"Franklin Av (2,3,4,5)/Botanic Garden (S)",B,"4,999,385","3,312,190"
627,"Franklin Av (C,S)",B,"1,977,940","1,210,340"
326,Franklin St (1),M,"1,567,005","1,329,726"
429,"Freeman St (2,5)",Bx,"1,358,821","822,237"
109,Fresh Pond Rd (M),Q,"1,776,084","1,195,169"
628,"Fulton St (A,C,J,Z,2,3,4,5)",M,"27,715,365","17,887,203"
292,Fulton St (G),B,"1,768,601","1,534,593"
95,"Gates Av (J,Z)",B,"2,249,791","1,458,035"
122,Graham Av (L),B,"2,709,511","2,164,641"
340,"Grand Army Plaza (2,3)",B,"2,295,401","1,653,318"
265,"Grand Av-Newtown (M,R)",Q,"5,730,846","3,893,242"
610,"Grand Central-42 St (S,4,5,6,7)",M,"45,745,700","30,517,475"
231,"Grand St (B,D)",M,"8,024,364","5,821,650"
123,Grand St (L),B,"1,847,219","1,499,646"
189,Grant Av (A),B,"1,749,932","1,169,287"
283,Greenpoint Av (G),B,"3,089,912","2,457,616"
421,"Gun Hill Rd (2,5)",Bx,"2,271,942","1,214,663"
444,Gun Hill Rd (5),Bx,"1,248,513","925,025"
94,Halsey St (J),B,"2,120,521","1,253,085"
129,Halsey St (L),B,"2,176,141","1,713,746"
436,Harlem-148 St (3),M,"1,120,454","679,539"
100,"Hewes St (J,M)",B,"1,117,566","612,920"
173,"High St (A,C)",B,"3,536,860","2,247,144"
324,Houston St (1),M,"4,496,793","2,749,660"
198,Howard Beach-JFK Airport (A),Q,"1,171,303","826,955"
336,"Hoyt St (2,3)",B,"2,293,256","1,666,303"
175,"Hoyt-Schermerhorn Sts (A,C,G)",B,"3,605,153","2,795,555"
463,Hunters Point Av (7),Q,"1,885,928","1,039,399"
